"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps",Follows
18352594918209859,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","PROMO TERBATAS🤩‼️",12,"04/30/2026 20:03",https://www.instagram.com/stories/purapura.ponsel/3887150769846303135,"IG story",,Lifetime,1993,1682,0,0,3,0,1925,,,
18337672969218574,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM""TUKAR TAMBAH""SEKARANG🔥",10,"04/30/2026 21:07",https://www.instagram.com/stories/purapura.ponsel/3887183858291156764,"IG story",,Lifetime,1909,1643,1,0,14,2,1792,,,
18110366740881333,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","✅PROMO BUNGA DAN DP 0% 
✅SYARAT MUDAH DAN CEPAT 
✅FREE 2X CICILAN",9,"04/30/2026 21:09",https://www.instagram.com/stories/purapura.ponsel/3887184987884316821,"IG story",,Lifetime,1844,1567,1,0,14,1,1731,,,
18053242079719897,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","YUK KE STORE SEKARANG🚀",11,"04/30/2026 23:25",https://www.instagram.com/stories/purapura.ponsel/3887252978835628913,"IG story",,Lifetime,1980,1704,0,0,26,0,1904,,,
18090140690217241,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","Yuk Ke store Sekarang🔥",28,"05/01/2026 01:17",https://www.instagram.com/stories/purapura.ponsel/3887304657425619470,"IG story",,Lifetime,1954,1698,1,0,21,2,1892,,,1
18236460445308298,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM""LOKER""SEKARANG🔥",12,"05/01/2026 03:03",https://www.instagram.com/stories/purapura.ponsel/3887362693439649185,"IG story",,Lifetime,1932,1718,2,0,8,2,1863,,,
17884308222540991,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,11,"05/01/2026 03:03",https://www.instagram.com/stories/purapura.ponsel/3887362920544463251,"IG story",,Lifetime,1806,1597,1,0,19,0,1756,13,,1
18097567382278495,17841414051683694,purapura.ponsel,"Pura Pura Ponsel","DM""SERVICES""SEKARANG🚀",16,"05/01/2026 04:05",https://www.instagram.com/stories/purapura.ponsel/3887393751321267699,"IG story",,Lifetime,1841,1621,1,0,18,0,1791,,,
18000370319922619,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/01/2026 05:53",https://www.instagram.com/stories/purapura.ponsel/3887448384110572487,"IG story",,Lifetime,2033,1593,1,0,7,0,1921,,12,1
18096496528897393,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,37,"05/01/2026 05:54",https://www.instagram.com/stories/purapura.ponsel/3887448201532475506,"IG story",,Lifetime,1989,1648,2,0,17,0,1931,,,
18577697569054576,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,0,"05/01/2026 05:55",https://www.instagram.com/stories/purapura.ponsel/3887449744717583382,"IG story",,Lifetime,1920,1552,0,0,13,1,1852,,7,
18062725964421197,17841414051683694,purapura.ponsel,"Pura Pura Ponsel",,15,"05/01/2026 06:01",https://www.instagram.com/stories/purapura.ponsel/3887452660555351868,"IG story",,Lifetime,1801,1476,0,0,15,1,1693,,,
